id,info_type_id,municipality_id,address,sighting_datetime,year,month,day,hour,animal_species_id,gender,headcount,alone_or_with_young,sighting_condition,latitude,longitude,remarks,open_flg,verified,distance,municipality_name,gender_name,info_type_masters,animal_species_masters,post_photos
2981,1,1,青森県青森市孫内地区,2023/9/23 0:00,2023,9,23,0,1,,1,1,目撃,40.782461,140.6406819,1頭目撃,4,1,9.622852441,青森市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3104,1,16,青森県深浦町舮作地区,2023/9/22 0:00,2023,9,22,0,1,,1,1,目撃,40.6093296,139.8654191,1頭目撃,4,1,77.54148642,深浦町,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3105,3,16,青森県深浦町風合瀬地区,2023/9/22 0:00,2023,9,22,0,1,,1,1,痕跡(食害),40.7352266,140.0021047,1頭目撃、物品被害,4,1,62.96534161,深浦町,,"{'id': 3, 'info_type_name': '痕跡(食害)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2923,3,2,青森県弘前市小沢地区,2023/9/22 0:00,2023,9,22,0,1,,1,1,痕跡(食害),40.5516621,140.4430835,食害被害,4,1,39.37073944,弘前市,,"{'id': 3, 'info_type_name': '痕跡(食害)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2922,3,2,青森県弘前市水木在家地区,2023/9/21 0:00,2023,9,21,0,1,,1,1,痕跡(食害),40.5528668,140.3799492,食害被害,4,1,42.86353002,弘前市,,"{'id': 3, 'info_type_name': '痕跡(食害)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2921,3,2,青森県弘前市新法師地区,2023/9/21 0:00,2023,9,21,0,1,,1,1,痕跡(食害),40.6050172,140.367024,食害被害,4,1,39.83935676,弘前市,,"{'id': 3, 'info_type_name': '痕跡(食害)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3103,1,16,青森県深浦町追良瀬地区,2023/9/21 0:00,2023,9,21,0,1,,1,1,目撃,40.6782502,139.9869214,3頭目撃,4,1,65.53424499,深浦町,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2964,1,4,青森県黒石市石名坂地区,2023/9/21 0:00,2023,9,21,0,1,,1,1,目撃,40.6271542,140.659011,痕跡,4,1,23.00384591,黒石市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3335,1,17,青森県西目屋村居森平地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.5343918,140.2701864,1頭目撃,4,1,51.13191507,西目屋村,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3113,1,6,青森県十和田市奥瀬地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.5678217,140.9768457,1頭目撃,4,1,34.81413265,十和田市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3102,1,16,青森県深浦町松神地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.5607543,139.9852453,2頭目撃,4,1,70.11205777,深浦町,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3028,1,15,青森県鯵ヶ沢町舞戸地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.7648764,140.2128332,1頭目撃,4,1,44.91678579,鰺ヶ沢町,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3022,1,6,青森県十和田市奥瀬地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.5730146,141.0621881,2頭（親子）目撃,4,1,38.95831526,十和田市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3021,1,6,青森県十和田市切田地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.5497793,141.0983463,2頭（親子）目撃,4,1,42.94049034,十和田市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2967,1,4,青森県黒石市上十川地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.6637734,140.6397926,痕跡,4,1,19.79417863,黒石市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2963,1,4,青森県黒石市石名坂地区,2023/9/20 0:00,2023,9,20,0,1,,1,1,目撃,40.6276184,140.6589252,目撃（足跡）,4,1,22.9567487,黒石市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3122,1,8,青森県むつ市大湊地区,2023/9/19 0:00,2023,9,19,0,1,,1,1,目撃,41.2893835,141.1585708,1頭目撃,4,1,62.44673004,むつ市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3026,1,6,青森県十和田市法量地区,2023/9/19 0:00,2023,9,19,0,1,,1,1,目撃,40.5881749,141.0178674,1頭目撃,4,1,35.17804516,十和田市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2920,3,2,青森県弘前市一野渡地区,2023/9/19 0:00,2023,9,19,0,1,,1,1,痕跡(食害),40.5426782,140.4485589,食害被害,4,1,39.86004626,弘前市,,"{'id': 3, 'info_type_name': '痕跡(食害)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2904,2,10,青森県平川市碇ケ関地区,2023/9/18 0:00,2023,9,18,0,1,,1,1,人身被害,40.4470441,140.6473773,70代女性がクマに襲われ、頭部等を負傷,4,1,42.71088723,平川市,,"{'id': 2, 'info_type_name': '人身被害', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3121,1,8,青森県むつ市文京町地区,2023/9/18 0:00,2023,9,18,0,1,,1,1,目撃,41.2923614,141.1653368,1頭目撃,4,1,63.03937432,むつ市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3025,1,6,青森県十和田市滝沢地区,2023/9/18 0:00,2023,9,18,0,1,,1,1,目撃,40.517896,141.1850475,1頭目撃,4,1,50.67854551,十和田市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2979,1,1,青森県青森市四ツ石地区,2023/9/18 0:00,2023,9,18,0,1,,1,1,目撃,40.771186,140.7790501,1頭目撃,4,1,6.765019025,青森市,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
2903,2,15,青森県鰺ヶ沢町中村町地区,2023/9/17 0:00,2023,9,17,0,1,,1,1,人身被害,40.7409521,140.2294421,70代女性がクマに襲われ、頭部等を負傷,4,1,44.02638527,鰺ヶ沢町,,"{'id': 2, 'info_type_name': '人身被害', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3126,4,10,青森県平川市尾崎地区,2023/9/15 0:00,2023,9,15,0,1,,1,1,痕跡(その他),40.5842653,140.621996,糞のみ,4,1,28.53021824,平川市,,"{'id': 4, 'info_type_name': '痕跡(その他)', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3334,1,17,青森県西目屋村田代地区,2023/9/15 0:00,2023,9,15,0,1,,1,1,目撃,40.5738917,140.2994352,1頭目撃,4,1,46.474885,西目屋村,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3333,1,17,青森県西目屋村田代地区,2023/9/15 0:00,2023,9,15,0,1,,1,1,目撃,40.5743554,140.2739045,2頭目撃,4,1,48.18438152,西目屋村,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
3112,1,19,青森県大鰐町大鰐地区,2023/9/15 0:00,2023,9,15,0,1,,1,1,目撃,40.5145367,140.5662281,1頭目撃,4,1,37.4801064,大鰐町,,"{'id': 1, 'info_type_name': '目撃', 'open_flg': 1, 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}","{'id': 1, 'animal_species_name': 'ツキノワグマ', 'animal_species_icon_file_path': '/images/icon_bear.svg', 'created_at': '2026-03-31T05:17:44.000000Z', 'updated_at': '2026-03-31T05:17:44.000000Z'}",[]
